step,R_CC,gap_eV,f_seam_norm,cos_phi,e_p,e_q,gx_H0,gy_H0,gz_H0,gx_H1,gy_H1,gz_H1,gx_H2,gy_H2,gz_H2,gx_H3,gy_H3,gz_H3,gx_C4,gy_C4,gz_C4,gx_C5,gy_C5,gz_C5,hx_H0,hy_H0,hz_H0,hx_H1,hy_H1,hz_H1,hx_H2,hy_H2,hz_H2,hx_H3,hy_H3,hz_H3,hx_C4,hy_C4,hz_C4,hx_C5,hy_C5,hz_C5
10,1.3248662090013688,5.652903615936112e-06,0.006751253261941604,0.2426056306289162,-77.2672705370767,-77.26727032933643,0.04083470548979845,-0.0018737005610118818,-0.005267601972282009,0.002211271392756703,-0.02426962674972949,0.0007189502587438279,0.027363664706306967,-0.022182693612622928,-0.05134413427312748,0.025657508031293963,0.028796914576034324,-0.004409276832252104,-0.025194345904337334,0.044773428360631695,0.08783103005842843,-0.07087280371583504,-0.025244322013285983,-0.027528967239507027,0.007748934197226887,0.017711318720674996,-0.04891923786287233,0.010457500582720547,0.03595088396826582,0.0012477475037317998,-0.013567484340968772,0.0022766046304001364,0.0288996986011274,-0.0054354798790061665,-0.045602379604023885,0.0011011508373053314,0.016608260274471043,-0.009419813017938816,0.0037583669827139232,-0.01581173083444387,-0.0009166146973792477,0.013912273937993658
11,1.3248700896628842,4.362054824548523e-06,0.00675047228954912,0.2083868648903249,-77.26727478777579,-77.26727462747331,-0.011044520921492385,-0.03541784818982108,0.09671368173875176,-0.02055557813367434,-0.074076494422985,-0.0023987889180576427,0.029891577310560136,-0.006901265371560231,-0.0629494841613876,0.013544568148159825,0.09375789823952835,-0.0026608209238547786,-0.03571611729311952,0.0235197088488222,0.0018963497678318036,0.02388007088954991,-0.0008819991039954386,-0.030600937503281536,-0.021125060479212365,-0.0009584805515325812,0.00784411687312081,-0.0022145769303696383,0.008230248885065516,-0.0004913421166421461,-0.012152619723379665,0.01078611635832294,0.022443461581863833,-0.012175097467965745,-0.009447627254557778,0.0020757479681869917,0.01074630355678785,-0.021249384874209465,-0.04406765537980872,0.03692105104414534,0.01263912743691236,0.012195671073280678
12,1.3248740767712481,1.7274605379753894e-06,0.006749777791149854,0.2776699888077846,-77.26727906323886,-77.26727899975589,0.036451224236811575,-0.009574108125371253,0.016236614315498922,-0.002416631364816485,-0.0394088777682509,0.00016226490941294303,0.03261798288870327,-0.022649805166699524,-0.06275038368309577,0.027411153515948306,0.04803937334087899,-0.004789184550303527,-0.03182454891971509,0.04780004564333474,0.08406577859649651,-0.06223918035689424,-0.02420662792388361,-0.03292508958800076,0.012018240150740267,0.017075212429644493,-0.04831042954995601,0.010441951130255589,0.03242143832925093,0.0012912913146554406,-0.010240645011635463,-0.0001984597128195098,0.022585026385894102,-0.0024961677992022535,-0.041351522933599394,0.0005921149347327681,0.013455686575087,-0.0043074493552160975,0.013275873330103938,-0.02317906504524192,-0.0036392187572599835,0.01056612358457032
13,1.3248780306112826,5.0768561875258915e-06,0.006749045457622188,0.2174236428929212,-77.26728339995685,-77.26728321338592,-0.036178751321246205,-0.027856641579317803,0.08298863640898478,-0.01835225816167052,-0.04474147891981363,-0.002443741215995207,0.006388515179008458,0.009057571014891172,-0.017618641249528576,-0.005914028441975083,0.057928580585775824,0.000746078793357613,-0.012641698108780464,-0.010381814911944679,-0.05679303606907318,0.06669822085468002,0.015993783810407197,-0.006879296667741945,-0.012216114042643,0.010974316356026526,-0.026036634236357048,0.005123446232643714,0.030639923197613605,0.00041836637081527073,-0.018985387425584532,0.010384053816363092,0.0376430381516506,-0.01361272757660903,-0.03805212562491017,0.0024395827338379306,0.0198539662886299,-0.023722518772761436,-0.03371657678341089,0.019836816523561396,0.00977635102766777,0.019252223763465803
14,1.3248819987639349,2.241748548269129e-06,0.006748394906062714,0.23674186673446546,-77.26728767187677,-77.26728758949407,-0.014623507023019788,-0.03544360563780177,0.09769707499199601,-0.020848909567089985,-0.07236662704159551,-0.002458159844675595,0.027660371016917873,-0.005035108647574477,-0.05884619100875937,0.011387797479251421,0.09178297675801125,-0.002294226805036964,-0.03373434120700125,0.019798292391144952,-0.005719990416644005,0.03015858930097104,0.001264072177802389,-0.028378506916863555,-0.02056320640215603,0.0005719232480363434,0.003660490383989634,-0.0013185164973947838,0.011396054174569181,-0.00038906356088519445,-0.013385305827110505,0.011047429113264506,0.025079863261264657,-0.01271246519938507,-0.013448529383149777,0.0021864706652381383,0.012226733080499486,-0.022172988807334204,-0.043990289751105305,0.03575276084554435,0.012606111654612945,0.013452529001498292
15,1.3248858857547408,3.5081886224133997e-06,0.006747734413309425,0.10669625908752012,-77.26729200020642,-77.26729187128294,-0.014801719738265495,0.0281152349417617,-0.07084702769472827,0.01443647971821635,0.07038802804488212,0.0014004407640864913,-0.038355067611928556,0.017920020696009273,0.07731309351704499,-0.024933956298554855,-0.0879993745359854,0.004550115346803815,0.0415820056686218,-0.043446709083585555,-0.05141422121137175,0.02207225826190018,0.01502279993690337,0.03899759927817523,-0.02052768451262532,-0.010804022284182091,0.03383259078753764,-0.00763297090656101,-0.014153726839999992,-0.0010797314171506756,-0.0015670624061008276,0.0069388482987418065,0.0007106975461068643,-0.0062112576892982,0.018732860361116807,0.0009625715978107685,-0.0012608558813980153,-0.010847295422565573,-0.03581374139583193,0.037199831395983374,0.01013333588688862,0.0013876128815277777
16,1.324889726520733,2.7524395007247907e-06,0.006747108725753172,0.2140839219872348,-77.26729630311684,-77.2672962019666,0.042039528354873235,0.001341912768400802,-0.014167147133019024,0.004088475704372235,-0.01767050679338613,0.0009516369213459358,0.02475382357270786,-0.02169215405479623,-0.04592169154202014,0.024563435172980902,0.020392612707191612,-0.004206371729232522,-0.022004077355230356,0.042833688591572425,0.08817219207784772,-0.07344118544967482,-0.025205553218979798,-0.024828618594922865,-0.00584592389438765,-0.017715747506244828,0.048468322706955336,-0.010302599359000908,-0.03688800957408067,-0.0011932389664885967,0.014725471831531056,-0.00329202482053903,-0.03110864636514654,0.006568275692213188,0.04672178141202364,-0.001298129590315833,-0.017682788160539253,0.01143768606846951,0.00022591241159375386,0.01253756389018168,-0.00026368557962993047,-0.015094220196599006
17,1.324893503604913,7.990327638202643e-06,0.006746443716177106,0.15444432432823157,-77.26730068990236,-77.26730039626338,-0.018630788782297236,0.025936908107928897,-0.06409602441259454,0.012920454433307138,0.06738351113457094,0.0011789463844286974,-0.03845801807468294,0.019167676099185182,0.07710608189536491,-0.025994951188735405,-0.08404805592539903,0.004716294831421108,0.04113976549349063,-0.04531135647344549,-0.05797190424107822,0.029023538118893022,0.0168713170571615,0.03906660554247285,-0.019725117399056247,-0.012086068236280889,0.03704286922522615,-0.00827920150612993,-0.017420990954029825,-0.0011387835176559502,0.000257154280695282,0.006055648257257795,-0.0029539762974605255,-0.0050026223123685876,0.02282261951092998,0.000744056605993304,-0.003236072838117998,-0.008727082774264594,-0.03322054687618037,0.03598585977498292,0.009355874196387615,-0.00047361913992327587
18,1.3248971991488043,1.4246615084687165e-06,0.006745855540632825,0.17599226877504148,-77.26730486332275,-77.26730481096743,-0.020480827321458228,0.024760724686703567,-0.060504309137292524,0.012119560613548519,0.06565506429146059,0.0010645855519748337,-0.038379647639776804,0.01972625245648714,0.07674286603624353,-0.02643784808803512,-0.08178870230059057,0.004783704264894453,0.04077794479667274,-0.04608872176619823,-0.061055235197919916,0.03240081763905267,0.017735382632134346,0.03896838848208593,-0.019257237679056183,-0.012686054641064093,0.03852200997453503,-0.008574210028002627,-0.018995395011256855,-0.0011641065261871475,0.0011674292683345744,0.005593265257072932,-0.0047762240800410805,-0.004381688189882049,0.024789904851557618,0.0006321466470318171,-0.004211959092243589,-0.007637667225098288,-0.03181207674459552,0.0352576657208461,0.008935946768788082,-0.001401749270741659
19,1.3249009920793209,1.2847146128791565e-06,0.006745270788868879,0.2532117186053674,-77.267309167596,-77.26730912038363,-0.017198508510282595,-0.03528415124176648,0.09795389896681972,-0.020955418439643686,-0.07072605050636036,-0.0024766276442644425,0.025843978464619083,-0.0036353232808549463,-0.05550002117061974,0.009718778818481127,0.08987035841241978,-0.0020098252670612687,-0.03210289064951066,0.01695795064676504,-0.01138294376144526,0.03469406031632838,0.0028172159697815793,-0.026584481123425097,0.020040218763104356,-0.001709779783878096,-0.0005372939443689662,0.0006433478134961756,-0.013703009878835215,0.00031503515135788973,0.014227701544792026,-0.011194088311845318,-0.026930087322763585,0.013050059315205087,0.016361917254492944,-0.0022620386515479485,-0.01325364031223053,0.022746852108659454,0.04372308236438949,-0.0347076871243619,-0.012501891388593814,-0.014308697597066433
